institution,country,national_rank
University of Málaga,Spain,14
University of Zaragoza,Spain,15
New York Medical College,USA,165
SUNY Downstate Medical Center,USA,166
École Centrale Paris,France,21
Utah State University,USA,167
University of Ljubljana,Slovenia,1
University of Montpellier 1,France,22
Victoria University of Wellington,New Zealand,4
East China University of Science and Technology,China,25
Konkuk University,South Korea,20
University of Potsdam,Germany,42
University of the Basque Country,Spain,16
University of Nice Sophia Antipolis,France,23
University of Udine,Italy,26
National Yang-Ming University,Taiwan,5
Indian Institute of Technology Bombay,India,4
University of Bayreuth,Germany,43
University of Wisconsin–Milwaukee,USA,168
University of Dayton,USA,169
Nihon University,Japan,30
Montana State University - Bozeman,USA,170
"Royal Holloway, University of London",United Kingdom,42
Tokyo Women's Medical University,Japan,31
Panjab University,India,5
Tampere University of Technology,Finland,7
University of Coimbra,Portugal,3
University of Newcastle,Australia,12
Nara Institute of Science and Technology,Japan,32
Auburn University,USA,171
University of Bremen,Germany,44
Mahidol University,Thailand,2
University of Crete,Greece,3
Bangor University,United Kingdom,43
University of Aveiro,Portugal,4
University of Palermo,Italy,27
Nagoya City University,Japan,33
University of Tartu,Estonia,1
University of Savoy,France,24
University of Tromsø - The Arctic University of Norway,Norway,4
University of Missouri–Kansas City,USA,172
Beihang University,China,26
American University of Beirut,Lebanon,1
University of Nantes,France,25
University of Essex,United Kingdom,44
University of Zagreb,Croatia,1
National Central University,Taiwan,6
University Lille 1: Sciences and Technologies,France,26
University of Catania,Italy,28
National Polytechnic Institute of Toulouse,France,27
Indian Institute of Technology Kanpur,India,6
Kagoshima University,Japan,34
Lanzhou University,China,27
James Cook University,Australia,13
Shizuoka University,Japan,35
Indian Institute of Technology Kharagpur,India,7
Second University of Naples,Italy,29
Indian Institute of Technology Madras,India,8
Plymouth University,United Kingdom,45
International School for Advanced Studies,Italy,30
Polytechnic University of Turin,Italy,31
University of Oviedo,Spain,17
Ehime University,Japan,36
University of Ioannina,Greece,4
University of Cagliari,Italy,32
Tottori University,Japan,37
Federal University of Rio Grande do Sul,Brazil,5
Kent State University,USA,173
University of Los Andes (Colombia),Colombia,1
Hunan University,China,28
Tokai University,Japan,38
LSU Health Sciences Center New Orleans,USA,174
Southern Illinois University Carbondale,USA,175
Tata Institute of Fundamental Research,India,9
Aalborg University,Denmark,5
Osaka Prefecture University,Japan,39
Chang Gung University,Taiwan,7
Northern Illinois University,USA,176
University of Trento,Italy,33
